word,frequency,start_date,end_date,rank
peopl,38,21/02/2020,29/02/2020,1
advic,38,21/02/2020,29/02/2020,2
stop,37,21/02/2020,29/02/2020,3
justtheflu,36,21/02/2020,29/02/2020,4
hand,36,21/02/2020,29/02/2020,5
best,32,21/02/2020,29/02/2020,6
wash,31,21/02/2020,29/02/2020,7
govern,27,21/02/2020,29/02/2020,8
2019,27,21/02/2020,29/02/2020,9
amp,26,21/02/2020,29/02/2020,10
virus,21,21/02/2020,29/02/2020,11
health,19,21/02/2020,29/02/2020,12
minist,19,21/02/2020,29/02/2020,13
virius,19,21/02/2020,29/02/2020,14
skynew,18,21/02/2020,29/02/2020,15
bbcnew,18,21/02/2020,29/02/2020,16
vavirus,18,21/02/2020,29/02/2020,17
meet,18,21/02/2020,29/02/2020,18
fact,18,21/02/2020,29/02/2020,19
prime,17,21/02/2020,29/02/2020,20
hand,156,01/03/2020,09/03/2020,1
peopl,140,01/03/2020,09/03/2020,2
govern,114,01/03/2020,09/03/2020,3
plan,90,01/03/2020,09/03/2020,4
like,85,01/03/2020,09/03/2020,5
spread,84,01/03/2020,09/03/2020,6
need,77,01/03/2020,09/03/2020,7
virus,75,01/03/2020,09/03/2020,8
amp,75,01/03/2020,09/03/2020,9
outbreak,67,01/03/2020,09/03/2020,10
case,63,01/03/2020,09/03/2020,11
know,63,01/03/2020,09/03/2020,12
nhs,62,01/03/2020,09/03/2020,13
minist,61,01/03/2020,09/03/2020,14
tackl,58,01/03/2020,09/03/2020,15
news,57,01/03/2020,09/03/2020,16
countri,55,01/03/2020,09/03/2020,17
shake,55,01/03/2020,09/03/2020,18
wash,54,01/03/2020,09/03/2020,19
dont,54,01/03/2020,09/03/2020,20
test,220,11/03/2020,19/03/2020,1
peopl,163,11/03/2020,19/03/2020,2
sign,118,11/03/2020,19/03/2020,3
petit,117,11/03/2020,19/03/2020,4
nhs,111,11/03/2020,19/03/2020,5
school,106,11/03/2020,19/03/2020,6
amp,106,11/03/2020,19/03/2020,7
need,95,11/03/2020,19/03/2020,8
protect,93,11/03/2020,19/03/2020,9
de,83,11/03/2020,19/03/2020,10
close,68,11/03/2020,19/03/2020,11
staff,64,11/03/2020,19/03/2020,12
whi,63,11/03/2020,19/03/2020,13
work,62,11/03/2020,19/03/2020,14
help,61,11/03/2020,19/03/2020,15
follow,59,11/03/2020,19/03/2020,16
countri,56,11/03/2020,19/03/2020,17
govern,53,11/03/2020,19/03/2020,18
closur,52,11/03/2020,19/03/2020,19
like,51,11/03/2020,19/03/2020,20
test,203,21/03/2020,29/03/2020,1
posit,126,21/03/2020,29/03/2020,2
peopl,113,21/03/2020,29/03/2020,3
de,92,21/03/2020,29/03/2020,4
minist,88,21/03/2020,29/03/2020,5
sign,88,21/03/2020,29/03/2020,6
amp,87,21/03/2020,29/03/2020,7
petit,86,21/03/2020,29/03/2020,8
accus,79,21/03/2020,29/03/2020,9
complac,76,21/03/2020,29/03/2020,10
nonchal,75,21/03/2020,29/03/2020,11
que,71,21/03/2020,29/03/2020,12
prime,68,21/03/2020,29/03/2020,13
nhs,67,21/03/2020,29/03/2020,14
whi,62,21/03/2020,29/03/2020,15
govern,59,21/03/2020,29/03/2020,16
positivo,57,21/03/2020,29/03/2020,17
health,56,21/03/2020,29/03/2020,18
death,56,21/03/2020,29/03/2020,19
el,55,21/03/2020,29/03/2020,20
de,274,01/04/2020,09/04/2020,1
care,200,01/04/2020,09/04/2020,2
intens,182,01/04/2020,09/04/2020,3
en,165,01/04/2020,09/04/2020,4
minist,150,01/04/2020,09/04/2020,5
el,128,01/04/2020,09/04/2020,6
prime,120,01/04/2020,09/04/2020,7
respond,110,01/04/2020,09/04/2020,8
hospit,107,01/04/2020,09/04/2020,9
la,99,01/04/2020,09/04/2020,10
que,97,01/04/2020,09/04/2020,11
british,90,01/04/2020,09/04/2020,12
o,87,01/04/2020,09/04/2020,13
pm,85,01/04/2020,09/04/2020,14
se,77,01/04/2020,09/04/2020,15
por,77,01/04/2020,09/04/2020,16
treatment,76,01/04/2020,09/04/2020,17
icu,75,01/04/2020,09/04/2020,18
ministro,74,01/04/2020,09/04/2020,19
improv,73,01/04/2020,09/04/2020,20
amp,158,11/04/2020,19/04/2020,1
govern,131,11/04/2020,19/04/2020,2
nhs,129,11/04/2020,19/04/2020,3
peopl,114,11/04/2020,19/04/2020,4
death,107,11/04/2020,19/04/2020,5
ppe,103,11/04/2020,19/04/2020,6
need,100,11/04/2020,19/04/2020,7
work,75,11/04/2020,19/04/2020,8
countri,75,11/04/2020,19/04/2020,9
whi,73,11/04/2020,19/04/2020,10
hospit,67,11/04/2020,19/04/2020,11
care,66,11/04/2020,19/04/2020,12
die,65,11/04/2020,19/04/2020,13
