,word,frequency,start_date,end_date
169,RSole Johnson,1,2020-01-01,2020-01-09
170,European Countries,1,2020-01-01,2020-01-09
171,Brussels Keep,1,2020-01-01,2020-01-09
172,Cynical,1,2020-01-01,2020-01-09
173,DWP,1,2020-01-01,2020-01-09
174,Keep,1,2020-01-01,2020-01-09
175,CNN,1,2020-01-01,2020-01-09
176,Murderer,1,2020-01-01,2020-01-09
177,the Eu Bruno,1,2020-01-01,2020-01-09
178,the Bush Administration,1,2020-01-01,2020-01-09
179,Islam,1,2020-01-01,2020-01-09
180,HoC,1,2020-01-01,2020-01-09
181,Baghdads Green Zone,1,2020-01-01,2020-01-09
182,Reported,1,2020-01-01,2020-01-09
183,WhiteSupremacy,1,2020-01-01,2020-01-09
184,Scottish Parliament,1,2020-01-01,2020-01-09
185,Try Cummings,1,2020-01-01,2020-01-09
186,Time,1,2020-01-01,2020-01-09
187,BoJo,1,2020-01-01,2020-01-09
188,BrexitJohnson,1,2020-01-01,2020-01-09
189,Martin,1,2020-01-01,2020-01-09
190,A DEVOUT COWARD,1,2020-01-01,2020-01-09
191,Remain,1,2020-01-01,2020-01-09
192,Blue,1,2020-01-01,2020-01-09
193,Civil Service,1,2020-01-01,2020-01-09
194,Johnsons,1,2020-01-01,2020-01-09
195,US Congress,1,2020-01-01,2020-01-09
196,Welland,1,2020-01-01,2020-01-09
197,Commonwealth,1,2020-01-01,2020-01-09
198,CChange Countries,1,2020-01-01,2020-01-09
199,Dies,1,2020-01-01,2020-01-09
200,FreeAssange,1,2020-01-01,2020-01-09
201,TikTok,1,2020-01-01,2020-01-09
202,Northern Irelands Alliance Party,1,2020-01-01,2020-01-09
203,SNHS,1,2020-01-01,2020-01-09
204,DonaldTrumps,1,2020-01-01,2020-01-09
205,IPCC,1,2020-01-01,2020-01-09
206,Iceboy,1,2020-01-01,2020-01-09
207,the Bullingdon Club,1,2020-01-01,2020-01-09
208,USATrump,1,2020-01-01,2020-01-09
209,Oxford Now,1,2020-01-01,2020-01-09
210,Poundland Trump,1,2020-01-01,2020-01-09
211,the Boys Brigade,1,2020-01-01,2020-01-09
212,SODEM,1,2020-01-01,2020-01-09
213,Harrys,1,2020-01-01,2020-01-09
214,BorisJohnson BoJoke,1,2020-01-01,2020-01-09
215,The Conservative Party Continues To Implode AmberRudd,1,2020-01-01,2020-01-09
216,EUUK,1,2020-01-01,2020-01-09
217,EU,50,2020-01-11,2020-01-19
218,BorisJohnson,15,2020-01-11,2020-01-19
219,BBC,9,2020-01-11,2020-01-19
220,Huawei,7,2020-01-11,2020-01-19
221,Trump,6,2020-01-11,2020-01-19
222,Corbyn,6,2020-01-11,2020-01-19
223,CCP,4,2020-01-11,2020-01-19
224,UKAid,4,2020-01-11,2020-01-19
225,Johnsons,4,2020-01-11,2020-01-19
226,Cabinet Ministers marks,4,2020-01-11,2020-01-19
227,BrexitDay,3,2020-01-11,2020-01-19
228,State,3,2020-01-11,2020-01-19
229,the Import and Exports of Hunting Trophies Now Sign the Petition,3,2020-01-11,2020-01-19
230,Bercow,3,2020-01-11,2020-01-19
231,RussiaReport,3,2020-01-11,2020-01-19
232,BDS,3,2020-01-11,2020-01-19
233,the House of Lords to York,2,2020-01-11,2020-01-19
234,GE,2,2020-01-11,2020-01-19
235,the European Union,2,2020-01-11,2020-01-19
236,HRH,2,2020-01-11,2020-01-19
237,House,2,2020-01-11,2020-01-19
238,EnforcetheBan,2,2020-01-11,2020-01-19
239,SNP,2,2020-01-11,2020-01-19
240,Fleetwood,2,2020-01-11,2020-01-19
241,the Import and Exports of Hunting Trophies Now,2,2020-01-11,2020-01-19
242,BBC Sky,2,2020-01-11,2020-01-19
